Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M12RO,Trial 19,1,quiet_dog,30,0,
M12RO,Trial 20,NaN,quiet_milk,0,0,DROPPED
,,,,,,
M13CY,Trial 1,0.52,baseline_1,13,12,
M13CY,Trial 2,0,baseline_2,0,26,
M13CY,Trial 13,1,quiet_stroller,29,0,
M13CY,Trial 14,0,noise_hand,0,29,
M13CY,Trial 15,0,quiet_hand,0,28,
M13CY,Trial 16,0.631578947,quiet_car,12,7,
M13CY,Trial 17,0.16,noise_foot,4,21,
M13CY,Trial 18,0.923076923,noise_stroller,24,2,
M13CY,Trial 19,0.814814815,noise_car,22,5,
M13CY,Trial 20,1,quiet_foot,27,0,
M13CY,Trial 11,0.333333333,baseline_3,8,16,
M13CY,Trial 12,0.96,baseline_4,24,1,
M13CY,Trial 9,0.791666667,quiet_eye,19,5,
M13CY,Trial 10,NaN,noise_eye,0,0,DROPPED
M13CY,Trial 4,0.6,noise_nose,15,10,
M13CY,Trial 3,0.8,quiet_nose,20,5,
M13CY,Trial 7,1,noise_milk,23,0,
M13CY,Trial 5,0,noise_dog,0,29,
M13CY,Trial 6,0,quiet_dog,0,27,
M13CY,Trial 8,0,quiet_milk,0,21,
,,,,,,
M15OW,Trial 1,1,baseline_1,14,0,DROPPED
M15OW,Trial 2,1,baseline_2,25,0,
M15OW,Trial 14,0,quiet_stroller,0,28,
M15OW,Trial 16,1,noise_hand,28,0,
M15OW,Trial 20,0,quiet_hand,0,30,
M15OW,Trial 19,1,quiet_car,28,0,
M15OW,Trial 18,0,noise_foot,0,31,
M15OW,Trial 17,0,noise_stroller,0,24,
M15OW,Trial 13,1,noise_car,29,0,
M15OW,Trial 15,0,quiet_foot,0,29,
M15OW,Trial 11,NaN,baseline_3,0,0,DROPPED
M15OW,Trial 12,0,baseline_4,0,27,
M15OW,Trial 3,0,quiet_eye,0,27,
M15OW,Trial 4,0,noise_eye,0,23,
M15OW,Trial 5,1,noise_nose,22,0,
M15OW,Trial 6,1,quiet_nose,18,0,
M15OW,Trial 7,0,noise_milk,0,24,
M15OW,Trial 8,1,noise_dog,25,0,
M15OW,Trial 9,0,quiet_dog,0,27,
M15OW,Trial 10,0,quiet_milk,0,26,
,,,,,,
M17EW,Trial 1,0.434782609,baseline_1,10,13,
M17EW,Trial 2,0.5,baseline_2,12,12,
M17EW,Trial 4,0.653846154,quiet_stroller,17,9,
M17EW,Trial 6,0.333333333,noise_hand,7,14,
M17EW,Trial 10,0.047619048,quiet_hand,1,20,
M17EW,Trial 9,0.666666667,quiet_car,12,6,
M17EW,Trial 8,0.291666667,noise_foot,7,17,
M17EW,Trial 7,0.5,noise_stroller,11,11,
M17EW,Trial 3,0.259259259,noise_car,7,20,
M17EW,Trial 5,0.608695652,quiet_foot,14,9,
M17EW,Trial 11,0.380952381,baseline_3,8,13,
M17EW,Trial 12,0.52173913,baseline_4,12,11,
M17EW,Trial 19,0.590909091,quiet_eye,13,9,
M17EW,Trial 20,0.681818182,noise_eye,15,7,
M17EW,Trial 14,0.263157895,noise_nose,5,14,
M17EW,Trial 13,0.304347826,quiet_nose,7,16,
M17EW,Trial 17,1,noise_milk,10,0,DROPPED
M17EW,Trial 15,0.4,noise_dog,8,12,
M17EW,Trial 16,0.32,quiet_dog,8,17,
M17EW,Trial 18,0.666666667,quiet_milk,14,7,
,,,,,,
M20NS,Trial 1,0.541666667,baseline_1,13,11,
M20NS,Trial 2,0.464285714,baseline_2,13,15,
M20NS,Trial 14,0.44,quiet_stroller,11,14,
M20NS,Trial 16,0.5,noise_hand,14,14,
M20NS,Trial 20,0,quiet_hand,0,28,
M20NS,Trial 19,1,quiet_car,31,0,
M20NS,Trial 18,0,noise_foot,0,29,
M20NS,Trial 17,0.37037037,noise_stroller,10,17,
M20NS,Trial 13,0,noise_car,0,18,
M20NS,Trial 15,0.68,quiet_foot,17,8,
M20NS,Trial 11,0.448275862,baseline_3,13,16,
M20NS,Trial 12,0,baseline_4,0,24,
M20NS,Trial 3,0,quiet_eye,0,25,
M20NS,Trial 4,0,noise_eye,0,24,
M20NS,Trial 5,0.407407407,noise_nose,11,16,
M20NS,Trial 6,0.52,quiet_nose,13,12,
M20NS,Trial 7,0,noise_milk,0,10,DROPPED
M20NS,Trial 8,0.923076923,noise_dog,24,2,
M20NS,Trial 9,0.925925926,quiet_dog,25,2,
M20NS,Trial 10,0,quiet_milk,0,28,
,,,,,,
M21SB,Trial 1,0.5,baseline_1,11,11,
M21SB,Trial 2,0.411764706,baseline_2,7,10,
M21SB,Trial 13,1,quiet_stroller,19,0,
M21SB,Trial 14,0.56,noise_hand,14,11,
M21SB,Trial 15,0.80952381,quiet_hand,17,4,
M21SB,Trial 16,1,quiet_car,17,0,
M21SB,Trial 17,0,noise_foot,0,16,
M21SB,Trial 18,1,noise_stroller,15,0,
M21SB,Trial 19,0.590909091,noise_car,13,9,
M21SB,Trial 20,NaN,quiet_foot,0,0,DROPPED
M21SB,Trial 11,1,baseline_3,30,0,
M21SB,Trial 12,1,baseline_4,29,0,
M21SB,Trial 9,1,quiet_eye,25,0,
M21SB,Trial 10,1,noise_eye,4,0,DROPPED
M21SB,Trial 4,0,noise_nose,0,26,
M21SB,Trial 3,0.3,quiet_nose,6,14,
M21SB,Trial 7,1,noise_milk,23,0,
M21SB,Trial 5,0,noise_dog,0,28,
M21SB,Trial 6,0,quiet_dog,0,33,
M21SB,Trial 8,1,quiet_milk,9,0,DROPPED
,,,,,,
M22AS,Trial 1,0.869565217,baseline_1,20,3,
M22AS,Trial 2,0.4,baseline_2,10,15,
M22AS,Trial 4,0.461538462,quiet_stroller,12,14,
M22AS,Trial 6,1,noise_hand,28,0,
M22AS,Trial 10,1,quiet_hand,28,0,
M22AS,Trial 9,0.266666667,quiet_car,8,22,
M22AS,Trial 8,1,noise_foot,27,0,
M22AS,Trial 7,0,noise_stroller,0,28,
M22AS,Trial 3,0,noise_car,0,24,
M22AS,Trial 5,1,quiet_foot,27,0,
M22AS,Trial 11,0.928571429,baseline_3,26,2,
M22AS,Trial 12,0,baseline_4,0,28,
M22AS,Trial 19,0.655172414,quiet_eye,19,10,
M22AS,Trial 20,1,noise_eye,29,0,
M22AS,Trial 14,0.115384615,noise_nose,3,23,
M22AS,Trial 13,1,quiet_nose,29,0,
M22AS,Trial 17,0,noise_milk,0,23,
M22AS,Trial 15,0.466666667,noise_dog,14,16,
M22AS,Trial 16,0.466666667,quiet_dog,14,16,
M22AS,Trial 18,0,quiet_milk,0,29,
,,,,,,
M23AK,Trial 1,0.227272727,baseline_1,5,17,
M23AK,Trial 2,1,baseline_2,21,0,
M23AK,Trial 3,1,quiet_stroller,23,0,
M23AK,Trial 4,0.529411765,noise_hand,9,8,
M23AK,Trial 5,0,quiet_hand,0,24,
M23AK,Trial 6,0.2,quiet_car,4,16,
M23AK,Trial 7,0.347826087,noise_foot,8,15,
M23AK,Trial 8,0.35,noise_stroller,7,13,
M23AK,Trial 9,1,noise_car,22,0,
M23AK,Trial 10,0,quiet_foot,0,22,
M23AK,Trial 11,0.730769231,baseline_3,19,7,
M23AK,Trial 12,1,baseline_4,25,0,
M23AK,Trial 13,0,quiet_eye,0,26,
M23AK,Trial 14,0,noise_eye,0,26,
M23AK,Trial 15,1,noise_nose,27,0,
M23AK,Trial 16,1,quiet_nose,25,0,
M23AK,Trial 17,0,noise_milk,0,25,
M23AK,Trial 18,1,noise_dog,29,0,
M23AK,Trial 19,1,quiet_dog,30,0,
M23AK,Trial 20,0,quiet_milk,0,24,
,,,,,,
M24JB,Trial 1,0.416666667,baseline_1,10,14,
M24JB,Trial 2,0.392857143,baseline_2,11,17,
M24JB,Trial 13,1,quiet_stroller,29,0,
M24JB,Trial 14,0,noise_hand,0,29,
M24JB,Trial 15,0,quiet_hand,0,14,DROPPED
M24JB,Trial 16,0,quiet_car,0,28,
M24JB,Trial 17,0,noise_foot,0,17,
M24JB,Trial 18,0.523809524,noise_stroller,11,10,
M24JB,Trial 19,1,noise_car,11,0,DROPPED
M24JB,Trial 20,0.615384615,quiet_foot,16,10,
M24JB,Trial 11,1,baseline_3,12,0,DROPPED
M24JB,Trial 12,0.964285714,baseline_4,27,1,
M24JB,Trial 9,1,quiet_eye,25,0,
M24JB,Trial 10,0.333333333,noise_eye,9,18,
M24JB,Trial 4,0.545454545,noise_nose,12,10,
M24JB,Trial 3,0.476190476,quiet_nose,10,11,
M24JB,Trial 7,0,noise_milk,0,24,
M24JB,Trial 5,0.56,noise_dog,14,11,
M24JB,Trial 6,0.2,quiet_dog,5,20,
M24JB,Trial 8,0,quiet_milk,0,25,
,,,,,,
M25AJ,Trial 1,0.92,baseline_1,23,2,
M25AJ,Trial 2,0.464285714,baseline_2,13,15,
M25AJ,Trial 4,0.6875,quiet_stroller,22,10,
M25AJ,Trial 6,0.5,noise_hand,11,11,
M25AJ,Trial 10,0.52,quiet_hand,13,12,
M25AJ,Trial 9,0,quiet_car,0,27,
M25AJ,Trial 8,1,noise_foot,26,0,
M25AJ,Trial 7,0.44,noise_stroller,11,14,
M25AJ,Trial 3,0.173913043,noise_car,4,19,
M25AJ,Trial 5,1,quiet_foot,28,0,
M25AJ,Trial 11,1,baseline_3,25,0,
M25AJ,Trial 12,0,baseline_4,0,23,
M25AJ,Trial 19,0.882352941,quiet_eye,15,2,
M25AJ,Trial 20,0.666666667,noise_eye,16,8,
M25AJ,Trial 14,1,noise_nose,21,0,
M25AJ,Trial 13,1,quiet_nose,26,0,
M25AJ,Trial 17,0.583333333,noise_milk,14,10,
M25AJ,Trial 15,0.363636364,noise_dog,8,14,
M25AJ,Trial 16,0.363636364,quiet_dog,8,14,
M25AJ,Trial 18,0,quiet_milk,0,25,
,,,,,,
M26JJ,Trial 1,0.76,baseline_1,19,6,
M26JJ,Trial 2,0.482758621,baseline_2,14,15,
M26JJ,Trial 3,0.517241379,quiet_stroller,15,14,
M26JJ,Trial 4,0.592592593,noise_hand,16,11,
M26JJ,Trial 5,0.28,quiet_hand,7,18,
M26JJ,Trial 6,0.724137931,quiet_car,21,8,
M26JJ,Trial 7,0.266666667,noise_foot,8,22,
M26JJ,Trial 8,1,noise_stroller,31,0,
M26JJ,Trial 9,1,noise_car,28,0,
M26JJ,Trial 10,0.227272727,quiet_foot,5,17,
M26JJ,Trial 11,0.32,baseline_3,8,17,
M26JJ,Trial 12,1,baseline_4,19,0,
M26JJ,Trial 13,1,quiet_eye,26,0,
M26JJ,Trial 14,0.75862069,noise_eye,22,7,
M26JJ,Trial 15,0.653846154,noise_nose,17,9,
M26JJ,Trial 16,1,quiet_nose,29,0,
M26JJ,Trial 17,0,noise_milk,0,23,
M26JJ,Trial 18,0,noise_dog,0,11,DROPPED
M26JJ,Trial 19,0.24137931,quiet_dog,7,22,
M26JJ,Trial 20,0.259259259,quiet_milk,7,20,
,,,,,,
M27ZD,Trial 1,0.772727273,baseline_1,17,5,
M27ZD,Trial 2,0.52,baseline_2,13,12,
M27ZD,Trial 4,0.692307692,quiet_stroller,18,8,
M27ZD,Trial 6,0.208333333,noise_hand,5,19,
M27ZD,Trial 10,0.230769231,quiet_hand,6,20,
M27ZD,Trial 9,0.25,quiet_car,7,21,
M27ZD,Trial 8,0.730769231,noise_foot,19,7,
M27ZD,Trial 7,0.826086957,noise_stroller,19,4,
M27ZD,Trial 3,0.538461538,noise_car,14,12,
M27ZD,Trial 5,1,quiet_foot,28,0,
M27ZD,Trial 11,0.153846154,baseline_3,4,22,
M27ZD,Trial 12,0.259259259,baseline_4,7,20,
M27ZD,Trial 19,0.709677419,quiet_eye,22,9,
M27ZD,Trial 20,1,noise_eye,29,0,
M27ZD,Trial 14,1,noise_nose,30,0,
M27ZD,Trial 13,0.793103448,quiet_nose,23,6,
M27ZD,Trial 17,0.037037037,noise_milk,1,26,
M27ZD,Trial 15,0.107142857,noise_dog,3,25,
M27ZD,Trial 16,0,quiet_dog,0,31,
M27ZD,Trial 18,0.555555556,quiet_milk,5,4,DROPPED
,,,,,,
M28PR,Trial 1,0.357142857,baseline_1,10,18,
M28PR,Trial 2,0,baseline_2,0,30,
M28PR,Trial 13,0,quiet_stroller,0,28,
M28PR,Trial 14,1,noise_hand,27,0,
M28PR,Trial 15,0.76,quiet_hand,19,6,
M28PR,Trial 16,0,quiet_car,0,28,
M28PR,Trial 17,1,noise_foot,28,0,
M28PR,Trial 18,1,noise_stroller,23,0,
M28PR,Trial 19,0.346153846,noise_car,9,17,
M28PR,Trial 20,1,quiet_foot,26,0,
M28PR,Trial 11,0,baseline_3,0,27,
M28PR,Trial 12,0.038461538,baseline_4,1,25,
M28PR,Trial 9,0.555555556,quiet_eye,15,12,
M28PR,Trial 10,0,noise_eye,0,29,
M28PR,Trial 4,1,noise_nose,29,0,
M28PR,Trial 3,1,quiet_nose,31,0,
M28PR,Trial 7,0,noise_milk,0,25,
M28PR,Trial 5,0.214285714,noise_dog,6,22,
M28PR,Trial 6,0.818181818,quiet_dog,18,4,
M28PR,Trial 8,0,quiet_milk,0,30,
,,,,,,
M30PM,Trial 1,0.225806452,baseline_1,7,24,
M30PM,Trial 2,0.638888889,baseline_2,23,13,
M30PM,Trial 14,1,quiet_stroller,36,0,
M30PM,Trial 16,0,noise_hand,0,36,
M30PM,Trial 20,0,quiet_hand,0,36,
M30PM,Trial 19,1,quiet_car,36,0,
M30PM,Trial 18,0.277777778,noise_foot,10,26,
M30PM,Trial 17,0.388888889,noise_stroller,14,22,
M30PM,Trial 13,1,noise_car,13,0,DROPPED
M30PM,Trial 15,0.75,quiet_foot,27,9,
M30PM,Trial 11,0.583333333,baseline_3,21,15,
M30PM,Trial 12,0.12,baseline_4,3,22,
M30PM,Trial 3,1,quiet_eye,12,0,DROPPED
M30PM,Trial 4,0.25,noise_eye,9,27,
M30PM,Trial 5,0.555555556,noise_nose,20,16,
M30PM,Trial 6,0.857142857,quiet_nose,30,5,
M30PM,Trial 7,0,noise_milk,0,36,
M30PM,Trial 8,0.555555556,noise_dog,20,16,
M30PM,Trial 9,0,quiet_dog,0,36,
M30PM,Trial 10,0,quiet_milk,0,25,
,,,,,,
M31RK,Trial 1,0,baseline_1,0,25,
M31RK,Trial 2,NaN,baseline_2,0,0,DROPPED
M31RK,Trial 13,0.875,quiet_stroller,14,2,
M31RK,Trial 14,0.47826087,noise_hand,11,12,
M31RK,Trial 15,1,quiet_hand,3,0,DROPPED
M31RK,Trial 16,0.523809524,quiet_car,11,10,
M31RK,Trial 17,0.391304348,noise_foot,9,14,
M31RK,Trial 18,0.695652174,noise_stroller,16,7,
M31RK,Trial 19,NaN,noise_car,0,0,DROPPED
M31RK,Trial 20,0,quiet_foot,0,21,
M31RK,Trial 11,1,baseline_3,14,0,DROPPED
M31RK,Trial 12,0.666666667,baseline_4,12,6,
M31RK,Trial 9,1,quiet_eye,15,0,
M31RK,Trial 10,0.619047619,noise_eye,13,8,
M31RK,Trial 4,NaN,noise_nose,0,0,DROPPED
M31RK,Trial 3,0.736842105,quiet_nose,14,5,
M31RK,Trial 7,0.363636364,noise_milk,8,14,
M31RK,Trial 5,1,noise_dog,27,0,
M31RK,Trial 6,0.583333333,quiet_dog,14,10,
M31RK,Trial 8,0,quiet_milk,0,22,
,,,,,,
M36EW,Trial 1,1,baseline_1,27,0,
M36EW,Trial 2,1,baseline_2,28,0,
M36EW,Trial 14,0,quiet_stroller,0,26,
M36EW,Trial 16,1,noise_hand,30,0,
M36EW,Trial 20,0.84,quiet_hand,21,4,
M36EW,Trial 19,0,quiet_car,0,30,
M36EW,Trial 18,1,noise_foot,27,0,
M36EW,Trial 17,0,noise_stroller,0,24,
M36EW,Trial 13,0,noise_car,0,24,
M36EW,Trial 15,1,quiet_foot,26,0,
M36EW,Trial 11,1,baseline_3,24,0,
M36EW,Trial 12,1,baseline_4,25,0,
M36EW,Trial 3,0,quiet_eye,0,26,
M36EW,Trial 4,0,noise_eye,0,22,
M36EW,Trial 5,1,noise_nose,32,0,
M36EW,Trial 6,1,quiet_nose,29,0,
M36EW,Trial 7,0,noise_milk,0,28,
M36EW,Trial 8,1,noise_dog,29,0,
M36EW,Trial 9,1,quiet_dog,28,0,
M36EW,Trial 10,0,quiet_milk,0,26,
,,,,,,
M37JD,Trial 1,1,baseline_1,21,0,
M37JD,Trial 2,1,baseline_2,25,0,
M37JD,Trial 3,0.851851852,quiet_stroller,23,4,
