Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
B12KRM,Trial 3,0.782608696,quiet_nariz,18,5,
B12KRM,Trial 7,0.583333333,noise_ojo,14,10,
B12KRM,Trial 8,0.5,quiet_leche,15,15,
B12KRM,Trial 10,0,noise_leche,0,23,
,,,,,,
B14I,Trial 1,0.655172414,baseline_1,19,10,
B14I,Trial 2,0.551724138,baseline_2,16,13,
B14I,Trial 3,1,quiet_stroller,22,0,
B14I,Trial 4,0.357142857,noise_hand,10,18,
B14I,Trial 5,0,quiet_hand,0,30,
B14I,Trial 6,0,quiet_car,0,16,
B14I,Trial 7,0,noise_foot,0,17,
B14I,Trial 8,1,noise_stroller,28,0,
B14I,Trial 9,0.32,noise_car,8,17,
B14I,Trial 10,0,quiet_foot,0,27,
B14I,Trial 11,0.653846154,baseline_3,17,9,
B14I,Trial 12,1,baseline_4,28,0,
B14I,Trial 13,0.392857143,quiet_ojo,11,17,
B14I,Trial 14,1,noise_perro,29,0,
B14I,Trial 15,1,noise_nariz,23,0,
B14I,Trial 16,0.517241379,quiet_perro,15,14,
B14I,Trial 17,0.740740741,quiet_nariz,20,7,
B14I,Trial 18,0,noise_ojo,0,20,
B14I,Trial 19,0,quiet_leche,0,2,DROPPED
B14I,Trial 20,0,noise_leche,0,20,
,,,,,,
B15NC,Trial 1,0,baseline_1,0,13,DROPPED
B15NC,Trial 2,0.631578947,baseline_2,12,7,
B15NC,Trial 13,1,quiet_stroller,21,0,
B15NC,Trial 14,0,noise_hand,0,24,
B15NC,Trial 15,0,quiet_hand,0,26,
B15NC,Trial 16,1,quiet_car,27,0,
B15NC,Trial 17,0,noise_foot,0,23,
B15NC,Trial 18,1,noise_stroller,25,0,
B15NC,Trial 19,0.6,noise_car,12,8,
B15NC,Trial 20,0,quiet_foot,0,25,
B15NC,Trial 11,1,baseline_3,28,0,
B15NC,Trial 12,1,baseline_4,26,0,
B15NC,Trial 6,1,quiet_ojo,24,0,
B15NC,Trial 4,0,noise_perro,0,24,
B15NC,Trial 5,0,noise_nariz,0,24,
B15NC,Trial 9,0,quiet_perro,0,25,
B15NC,Trial 3,0.555555556,quiet_nariz,10,8,
B15NC,Trial 7,1,noise_ojo,25,0,
B15NC,Trial 8,1,quiet_leche,18,0,
B15NC,Trial 10,1,noise_leche,23,0,
,,,,,,
B16LR,Trial 1,0.869565217,baseline_1,20,3,
B16LR,Trial 2,0,baseline_2,0,25,
B16LR,Trial 4,1,quiet_stroller,22,0,
B16LR,Trial 6,0,noise_hand,0,18,
B16LR,Trial 10,0,quiet_hand,0,13,DROPPED
B16LR,Trial 9,0,quiet_car,0,26,
B16LR,Trial 8,1,noise_foot,26,0,
B16LR,Trial 7,1,noise_stroller,18,0,
B16LR,Trial 3,1,noise_car,23,0,
B16LR,Trial 5,0,quiet_foot,0,24,
B16LR,Trial 11,0,baseline_3,0,25,
