Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
B12KRM,Trial 11,0.716814159,baseline_3,81,32,
B12KRM,Trial 12,0.276315789,baseline_4,21,55,
B12KRM,Trial 6,0.678899083,quiet_ojo,74,35,
B12KRM,Trial 4,0.756521739,noise_perro,87,28,
B12KRM,Trial 5,0.426666667,noise_nariz,32,43,
B12KRM,Trial 9,0.431034483,quiet_perro,50,66,
B12KRM,Trial 3,0.460526316,quiet_nariz,35,41,
B12KRM,Trial 7,0.487179487,noise_ojo,38,40,
B12KRM,Trial 8,0.872727273,quiet_leche,96,14,
B12KRM,Trial 10,0.492307692,noise_leche,32,33,
,,,,,,
B14I,Trial 1,0.783333333,baseline_1,47,13,
B14I,Trial 2,0.857142857,baseline_2,90,15,
B14I,Trial 3,0.912087912,quiet_stroller,83,8,
B14I,Trial 4,0,noise_hand,0,95,
B14I,Trial 5,0.485294118,quiet_hand,33,35,
B14I,Trial 6,1,quiet_car,22,0,
B14I,Trial 7,0.390243902,noise_foot,32,50,
B14I,Trial 8,1,noise_stroller,43,0,
B14I,Trial 9,0,noise_car,0,8,DROPPED
B14I,Trial 10,0.65,quiet_foot,39,21,
B14I,Trial 11,0.938271605,baseline_3,76,5,
B14I,Trial 12,0.883333333,baseline_4,106,14,
B14I,Trial 13,0.258333333,quiet_ojo,31,89,
B14I,Trial 14,1,noise_perro,120,0,
B14I,Trial 15,1,noise_nariz,102,0,
B14I,Trial 16,1,quiet_perro,120,0,
B14I,Trial 17,0.728395062,quiet_nariz,59,22,
B14I,Trial 18,0,noise_ojo,0,83,
B14I,Trial 19,0.351648352,quiet_leche,32,59,
B14I,Trial 20,0.277777778,noise_leche,10,26,
,,,,,,
B15NC,Trial 1,0,baseline_1,0,79,
B15NC,Trial 2,0.4625,baseline_2,37,43,
B15NC,Trial 13,NaN,quiet_stroller,0,0,DROPPED
B15NC,Trial 14,NaN,noise_hand,0,0,DROPPED
B15NC,Trial 15,0,quiet_hand,0,88,
B15NC,Trial 16,1,quiet_car,13,0,DROPPED
B15NC,Trial 17,0,noise_foot,0,41,
B15NC,Trial 18,1,noise_stroller,25,0,
B15NC,Trial 19,1,noise_car,25,0,
B15NC,Trial 20,0,quiet_foot,0,14,DROPPED
B15NC,Trial 11,0.584070796,baseline_3,66,47,
B15NC,Trial 12,0.563380282,baseline_4,40,31,
B15NC,Trial 6,0,quiet_ojo,0,62,
B15NC,Trial 4,0.028169014,noise_perro,2,69,
B15NC,Trial 5,0.431818182,noise_nariz,38,50,
B15NC,Trial 9,0.326315789,quiet_perro,31,64,
B15NC,Trial 3,0.494117647,quiet_nariz,42,43,
B15NC,Trial 7,0.798076923,noise_ojo,83,21,
B15NC,Trial 8,0.708333333,quiet_leche,17,7,
B15NC,Trial 10,0.822916667,noise_leche,79,17,
,,,,,,
B16LR,Trial 1,0.506849315,baseline_1,37,36,
B16LR,Trial 2,0.292682927,baseline_2,12,29,
B16LR,Trial 4,0.75,quiet_stroller,21,7,
B16LR,Trial 6,0,noise_hand,0,75,
B16LR,Trial 10,0.055555556,quiet_hand,1,17,
B16LR,Trial 9,1,quiet_car,38,0,
B16LR,Trial 8,0.149253731,noise_foot,10,57,
B16LR,Trial 7,1,noise_stroller,41,0,
B16LR,Trial 3,0.327272727,noise_car,18,37,
B16LR,Trial 5,0.040540541,quiet_foot,3,71,
B16LR,Trial 11,0.395833333,baseline_3,19,29,
B16LR,Trial 12,0.736842105,baseline_4,28,10,
B16LR,Trial 16,0.276785714,quiet_ojo,31,81,
B16LR,Trial 14,0.555555556,noise_perro,40,32,
B16LR,Trial 15,0.6875,noise_nariz,11,5,
B16LR,Trial 19,0.5625,quiet_perro,18,14,
B16LR,Trial 13,1,quiet_nariz,14,0,DROPPED
B16LR,Trial 17,0.307692308,noise_ojo,20,45,
B16LR,Trial 18,0.78,quiet_leche,39,11,
B16LR,Trial 20,0.756756757,noise_leche,28,9,
,,,,,,
B17YT,Trial 1,0.685185185,baseline_1,37,17,
B17YT,Trial 2,0.4375,baseline_2,42,54,
B17YT,Trial 14,0.78313253,quiet_stroller,65,18,
B17YT,Trial 16,0.58490566,noise_hand,62,44,
B17YT,Trial 20,0,quiet_hand,0,56,
B17YT,Trial 19,0.269230769,quiet_car,21,57,
B17YT,Trial 18,0,noise_foot,0,120,
B17YT,Trial 17,0.834782609,noise_stroller,96,19,
B17YT,Trial 13,1,noise_car,75,0,
B17YT,Trial 15,0,quiet_foot,0,15,
B17YT,Trial 11,0.393442623,baseline_3,24,37,
B17YT,Trial 12,0.692307692,baseline_4,45,20,
B17YT,Trial 3,NaN,quiet_ojo,0,0,DROPPED
B17YT,Trial 4,0.693333333,noise_perro,52,23,
B17YT,Trial 5,0.649122807,noise_nariz,74,40,
B17YT,Trial 6,1,quiet_perro,31,0,
B17YT,Trial 7,0.725490196,quiet_nariz,74,28,
